record_id,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,"Full hierarchy","Old Platform ID",View,Icon,"Listings Full Count","Custom Landing Page (optional)","Icon Option","Icon 2",Color,"Text Color","Seopress Redirections Type",Image,"Seopress Redirections Logged Status","Listing Type(s)"
5736,1,active,"Lawn Care Service",lawn-care-service,"Landscaping & Gardening",12,,job_listing_category,"Landscaping & Gardening > Lawn Care Service",,https://visita.co.za/category/lawn-care-service/,,"{""businesses-services"":12}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
5422,0,active,"Landscaping Supply Store",landscaping-supply-store,0,7,,job_listing_category,"Landscaping Supply Store",,https://visita.co.za/category/landscaping-supply-store/,,"{""businesses-services"":7}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
13219,0,active,"Language & Specialty Schools",language-specialty-schools,0,0,,job_listing_category,"Language & Specialty Schools",,https://visita.co.za/category/language-specialty-schools/,,"{""businesses-services"":133,""community-spaces"":3}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
6824,1,active,"Computer Training School",computer-training-school,"Language & Specialty Schools",75,,job_listing_category,"Language & Specialty Schools > Computer Training School",,https://visita.co.za/category/computer-training-school/,,"{""businesses-services"":74,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Computer-training-school.jpg?wpId=181147,,"Businesses & Services, All Businesses & Spaces"
6750,1,active,"Cooking School",cooking-school,"Language & Specialty Schools",7,,job_listing_category,"Language & Specialty Schools > Cooking School",,https://visita.co.za/category/cooking-school/,,"{""businesses-services"":7}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
7593,1,active,"Drama School",drama-school,"Language & Specialty Schools",10,,job_listing_category,"Language & Specialty Schools > Drama School",,https://visita.co.za/category/drama-school/,,"{""businesses-services"":9,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
5695,1,active,"Driving School",driving-school,"Language & Specialty Schools",14,,job_listing_category,"Language & Specialty Schools > Driving School",,https://visita.co.za/category/driving-school/,,"{""businesses-services"":13,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
6249,1,active,"Flight School",flight-school,"Language & Specialty Schools",11,,job_listing_category,"Language & Specialty Schools > Flight School",,https://visita.co.za/category/flight-school/,,"{""businesses-services"":11}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
7605,1,active,"Language School",language-school,"Language & Specialty Schools",7,,job_listing_category,"Language & Specialty Schools > Language School",,https://visita.co.za/category/language-school/,,"{""businesses-services"":11}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
13233,2,active,"Afrikaans Language School",afrikaans-language-school,"Language School",0,,job_listing_category,"Language & Specialty Schools > Language School > Afrikaans Language School",,https://visita.co.za/category/afrikaans-language-school/,,,,icon,,#ffffff,#4c5270,,,,"Community Spaces, All Businesses & Spaces"
