record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
17791,Association / Organization,association-organization,,Association / Organization,,,0,Businesses & Services
17260,ATM,atm,,ATM,,,0,Businesses & Services
16219,Attractions & Activities,attractions-activities,,Attractions & Activities,,,0,Businesses & Services
5282,Wildlife Parks & Sanctuaries,wildlife-parks-sanctuaries,,Attractions & Activities > Wildlife Parks & Sanctuaries,,,16219,Businesses & Services
16243,Reptile Parks,reptile-parks,,Attractions & Activities > Wildlife Parks & Sanctuaries > Reptile Parks,https://visita.co.za/wp-content/uploads/2025/02/crocodile-svgrepo-com.svg?wpId=204879,,5282,Businesses & Services
17254,Auto parts store,auto-parts-store,,Auto parts store,,,0,Businesses & Services
17833,Auto repair shop,auto-repair-shop,,Auto repair shop,,,0,Businesses & Services
18042,Bakery,bakery,,Bakery,,,0,Businesses & Services
17998,Bank,bank,,Bank,,,0,Businesses & Services
5514,Bank Branch,bank-branch,,Bank Branch,,https://visita.co.za/wp-content/uploads/2024/07/Savings-bank.jpg?wpId=181384,0,Businesses & Services
18100,Baptist church,baptist-church,,Baptist church,,,0,Businesses & Services
18044,Bar,bar,,Bar,,,0,Businesses & Services
18176,Bar & grill,bar-grill,,Bar & grill,,,0,Businesses & Services
18185,Barbecue restaurant,barbecue-restaurant,,Barbecue restaurant,,,0,Businesses & Services
17269,Bed & breakfast,bed-breakfast,,Bed & breakfast,,,0,Businesses & Services
17248,Bed shop,bed-shop,,Bed shop,,,0,Businesses & Services
18033,Beer garden,beer-garden,,Beer garden,,,0,Businesses & Services
17949,Bird watching area,bird-watching-area,,Bird watching area,,,0,Businesses & Services
6458,Building Materials Market,building-materials-market,,Building Materials Market,,,0,Businesses & Services
17155,Building materials store,building-materials-store-2,,Building materials store,,,0,Businesses & Services
17997,Building materials supplier,building-materials-supplier,,Building materials supplier,,,0,Businesses & Services
17245,Bus stop,bus-stop,,Bus stop,,,0,Community Spaces
18151,Business administration service,business-administration-service-2,,Business administration service,,,0,Businesses & Services
17909,Business center,business-center,,Business center,,,0,Businesses & Services
17783,Business park,business-park,,Business park,,,0,Businesses & Services
18201,businesses-services,businesses-services,,businesses-services,,,0,Businesses & Services
18048,Butcher shop,butcher-shop-2,,Butcher shop,,,0,Businesses & Services
18184,Cafe,cafe-2,,Cafe,,,0,Businesses & Services
18003,Campground,campground-2,,Campground,,,0,Businesses & Services
13024,Camping & Rv Parks,camping-rv-parks,,Camping & Rv Parks,,,0,Businesses & Services
1951,Campground,campground,,Camping & Rv Parks > Campground,,https://visita.co.za/wp-content/uploads/2024/07/Campground.jpg?wpId=181117,13024,Businesses & Services
5326,Camping Cabin,camping-cabin,,Camping & Rv Parks > Camping Cabin,,,13024,Businesses & Services
5291,Camping Farm,camping-farm,,Camping & Rv Parks > Camping Farm,,,13024,Businesses & Services
5287,Rv Park,rv-park,,Camping & Rv Parks > Rv Park,,,13024,Businesses & Services
17951,Camping farm,camping-farm-2,,Camping farm,,,0,Businesses & Services
17255,Car dealer,car-dealer-2,,Car dealer,,,0,Businesses & Services
17829,Car inspection station,car-inspection-station-2,,Car inspection station,,,0,Businesses & Services
401,Car Leasing Service,car-leasing-service,,Car Leasing Service,,https://visita.co.za/wp-content/uploads/2024/07/Car-leasing-service.jpg?wpId=181121,0,Businesses & Services
7289,Car Racing Track,car-racing-track,,Car Racing Track,,,0,Businesses & Services
17993,Car wash,car-wash-2,,Car wash,,,0,Businesses & Services
6298,Career Guidance Service,career-guidance-service,,Career Guidance Service,,,0,Businesses & Services
13041,Catering Services,catering-services,,Catering Services,,,0,Businesses & Services
335,Caterer,caterer,,Catering Services > Caterer,,https://visita.co.za/wp-content/uploads/2023/05/5_mq5qhfce4.jpg?wpId=52958,13041,Businesses & Services
2453,Catering,catering,,Catering Services > Catering,,,13041,Businesses & Services
490,Catering Food And Drink Supplier,catering-food-and-drink-supplier,,Catering Services > Catering Food And Drink Supplier,,https://visita.co.za/wp-content/uploads/2023/06/Food-catering.png?wpId=56950,13041,Businesses & Services
13043,Event Catering,event-catering,,Catering Services > Event Catering,,,13041,Businesses & Services
2554,Mobile Caterer,mobile-caterer,,Catering Services > Mobile Caterer,,,13041,Businesses & Services
13042,Wedding Catering,wedding-catering,,Catering Services > Wedding Catering,,,13041,Businesses & Services
18107,Catholic cathedral,catholic-cathedral,,Catholic cathedral,,,0,Businesses & Services
18037,Catholic church,catholic-church,,Catholic church,,,0,Businesses & Services
6698,Catholic School,catholic-school,,Catholic School,,,0,Community Spaces
17117,Cell phone store,cell-phone-store-2,,Cell phone store,,,0,Businesses & Services
18142,Chapel,chapel,,Chapel,,,0,Businesses & Services
5404,Charity,charity,,Charity,,,0,Businesses & Services
5581,Chemical Industry,chemical-industry,,Chemical Industry,,https://visita.co.za/wp-content/uploads/2024/07/Chemical-industry.jpg?wpId=181124,0,Businesses & Services
5799,Chemical Plant,chemical-plant,,Chemical Plant,,https://visita.co.za/wp-content/uploads/2024/07/Chemical-plant.jpg?wpId=181126,0,Businesses & Services
7432,Chemistry Lab,chemistry-lab,,Chemistry Lab,,,0,Businesses & Services
5141,Chicken Shop,chicken-shop,,Chicken Shop,,https://visita.co.za/wp-content/uploads/2024/07/Chicken-shop.jpg?wpId=181128,0,Businesses & Services
5330,Children's Camp,childrens-camp,,Children's Camp,,,0,Businesses & Services
2135,Children's Furniture Store,childrens-furniture-store,,Children's Furniture Store,,,0,Businesses & Services
982,Children's Hospital,childrens-hospital,,Children's Hospital,,,0,Community Spaces
18013,Children's library,childrens-library,,Children's library,,,0,Businesses & Services
1640,Children's Party Service,childrens-party-service,,Children's Party Service,,,0,Businesses & Services
17181,Children's store,childrens-store-2,,Children's store,,,0,Businesses & Services
5323,Childrens Club,childrens-club,,Childrens Club,,,0,Businesses & Services
17990,Christian church,christian-church-2,,Christian church,,,0,Businesses & Services
17972,Church,church-2,,Church,,,0,Businesses & Services
18085,Church of Christ,church-of-christ,,Church of Christ,,,0,Businesses & Services
17981,Church of the Nazarene,church-of-the-nazarene,,Church of the Nazarene,,,0,Businesses & Services
17966,City government office,city-government-office-2,,City government office,,,0,Businesses & Services
